date,open,high,low,close
44851.00 ,19149.3,19676.7,19119.7,19515.4
44852.00 ,19515.4,19700.9,19097.4,19296.2
44853.00 ,19292.3,19372.2,19081.7,19195
44854.00 ,19194.4,19338.8,18906.1,19070.9
44855.00 ,19070.5,19247.7,18650.8,19155.9
44856.00 ,19155.6,19256.6,19114.9,19204.4
44857.00 ,19204.3,19596.1,19077.4,19541
44858.00 ,19542.2,19694.9,19161.3,19366.3
44859.00 ,19367.1,20416.8,19238.3,20234.4
44860.00 ,20237,21025.4,19992.8,20745.3
44861.00 ,20744.8,20909.1,20250.2,20407.2
44862.00 ,20408,20750.3,20005.4,20599.8
44863.00 ,20600.9,21084.8,20562.1,20850.3
44864.00 ,20850.4,20934.6,20521.2,20591
44865.00 ,20590,20839.9,20240.2,20478.7
44866.00 ,20480.7,20653.9,20330.4,20476.1
44867.00 ,20459.6,20798.6,20060.2,20108
44868.00 ,20108.7,20386.1,20046,20195.5
44869.00 ,20194.9,21300.1,20162.6,21179.3
44870.00 ,21180.7,21469.7,21083.4,21297.7
44871.00 ,21297.2,21365.2,21052.9,21140.3
44872.00 ,21138.4,21152.6,20389.5,20463.7
44873.00 ,20462.7,20694.2,17203.1,18514.2
44874.00 ,18491.1,18723.3,15764.8,16103
44875.00 ,16081.5,19503.4,15799.9,17887.7
44876.00 ,17904.2,20543.3,16507.1,16949.2
44877.00 ,16922.1,17203.5,16606.2,16805.7
44878.00 ,16806.2,16920,16214.7,16414
44879.00 ,16404.3,17163,15796.3,16386.9
44880.00 ,16385.4,17118.6,16380.7,16859.7
44881.00 ,16863.3,16987.9,16371,16653.8
44882.00 ,16652.8,16750.3,16399.8,16697.2
44883.00 ,16701.4,16987.4,16533.4,16647
44884.00 ,16647.2,16803.8,16536,16720.1
44885.00 ,16723.3,16756.1,16162.3,16272.5
44886.00 ,16273.2,16298.3,15473.9,15720.5
44887.00 ,15720.5,16283.4,15600.4,16165.2
44888.00 ,16165.1,16680,16137.2,16494.2
44889.00 ,16510.9,16795,16449.6,16597.5
